date,origin_group,dep_airport,arr_airport,destination,airline,airline_code,dep_time,arr_time,duration,stops,price_value,price_text,scraped_at,source
2026-01-29,BKKA,BKK,BFV,BFV,Thai AirAsia,FD,16:00,17:05,1ชม.5นาที,Direct,1250,"฿1,250",2026-01-28T12:35:45.882284,airpaz.com
2026-01-29,BKKA,DMK,BFV,BFV,Thai AirAsia,FD,14:55,15:55,1ชม.0นาที,Direct,1659,"฿1,659",2026-01-28T12:35:45.905795,airpaz.com
2026-01-29,BKKA,DMK,BFV,BFV,Thai AirAsia,FD,06:55,07:55,1ชม.0นาที,Direct,1662,"฿1,662",2026-01-28T12:35:45.927071,airpaz.com
2026-01-30,BKKA,DMK,BFV,BFV,Thai AirAsia,FD,06:55,07:55,1ชม.0นาที,Direct,1760,"฿1,760",2026-01-28T12:36:14.416526,airpaz.com
2026-01-30,BKKA,DMK,BFV,BFV,Thai AirAsia,FD,15:05,16:05,1ชม.0นาที,Direct,2342,"฿2,342",2026-01-28T12:36:14.439962,airpaz.com
2026-01-31,BKKA,BKK,BFV,BFV,Thai AirAsia,FD,16:00,17:05,1ชม.5นาที,Direct,1153,"฿1,153",2026-01-28T12:36:43.034262,airpaz.com
2026-01-31,BKKA,DMK,BFV,BFV,Thai AirAsia,FD,15:35,16:40,1ชม.5นาที,Direct,2049,"฿2,049",2026-01-28T12:36:43.059038,airpaz.com
2026-01-31,BKKA,DMK,BFV,BFV,Thai AirAsia,FD,06:55,07:55,1ชม.0นาที,Direct,2053,"฿2,053",2026-01-28T12:36:43.087675,airpaz.com
2026-02-01,BKKA,DMK,BFV,BFV,Thai AirAsia,FD,06:55,07:55,1ชม.0นาที,Direct,1172,"฿1,172",2026-01-28T12:37:12.203172,airpaz.com
2026-02-02,BKKA,DMK,BFV,BFV,Thai AirAsia,FD,06:55,07:55,1ชม.0นาที,Direct,1662,"฿1,662",2026-01-28T12:37:40.286437,airpaz.com
2026-02-02,BKKA,DMK,BFV,BFV,Thai AirAsia,FD,15:55,16:55,1ชม.0นาที,Direct,2049,"฿2,049",2026-01-28T12:37:40.311271,airpaz.com
2026-02-03,BKKA,BKK,BFV,BFV,Thai AirAsia,FD,16:00,17:05,1ชม.5นาที,Direct,1153,"฿1,153",2026-01-28T12:38:08.285408,airpaz.com
2026-02-03,BKKA,DMK,BFV,BFV,Thai AirAsia,FD,06:55,07:55,1ชม.0นาที,Direct,1172,"฿1,172",2026-01-28T12:38:08.309657,airpaz.com
2026-02-03,BKKA,DMK,BFV,BFV,Thai AirAsia,FD,14:55,15:55,1ชม.0นาที,Direct,1659,"฿1,659",2026-01-28T12:38:08.332824,airpaz.com
