date,origin_group,dep_airport,arr_airport,destination,airline,airline_code,dep_time,arr_time,duration,stops,price_value,price_text,scraped_at,source
2026-01-29,BKKA,DMK,PHS,PHS,Thai Lion Air,SL,14:00,14:55,0ชม.55นาที,Direct,760,฿760,2026-01-26 15:32:59,airpaz.com
2026-01-29,BKKA,DMK,PHS,PHS,Thai Lion Air,SL,7:35,8:40,1ชม.5นาที,Direct,761,฿761,2026-01-26 15:32:59,airpaz.com
2026-01-29,BKKA,DMK,PHS,PHS,Nok Air,DD,16:35,17:35,1ชม.0นาที,Direct,862,฿862,2026-01-26 15:32:59,airpaz.com
2026-01-29,BKKA,DMK,PHS,PHS,Thai AirAsia,FD,14:55,15:55,1ชม.0นาที,Direct,903,฿903,2026-01-26 15:32:59,airpaz.com
2026-01-29,BKKA,DMK,PHS,PHS,Thai AirAsia,FD,17:30,18:25,0ชม.55นาที,Direct,1108,"฿1,108",2026-01-26 15:32:59,airpaz.com
2026-01-29,BKKA,DMK,PHS,PHS,Thai AirAsia,FD,7:00,8:00,1ชม.0นาที,Direct,1568,"฿1,568",2026-01-26 15:32:59,airpaz.com
2026-01-30,BKKA,DMK,PHS,PHS,Thai Lion Air,SL,14:00,14:55,0ชม.55นาที,Direct,760,฿760,2026-01-26 15:33:28,airpaz.com
2026-01-30,BKKA,DMK,PHS,PHS,Nok Air,DD,16:35,17:35,1ชม.0นาที,Direct,957,฿957,2026-01-26 15:33:28,airpaz.com
2026-01-30,BKKA,DMK,PHS,PHS,Thai Lion Air,SL,7:35,8:40,1ชม.5นาที,Direct,1070,"฿1,070",2026-01-26 15:33:28,airpaz.com
2026-01-30,BKKA,DMK,PHS,PHS,Thai AirAsia,FD,14:55,15:55,1ชม.0นาที,Direct,1093,"฿1,093",2026-01-26 15:33:28,airpaz.com
2026-01-30,BKKA,DMK,PHS,PHS,Thai AirAsia,FD,7:00,8:00,1ชม.0นาที,Direct,1283,"฿1,283",2026-01-26 15:33:28,airpaz.com
2026-01-30,BKKA,DMK,PHS,PHS,Thai AirAsia,FD,17:10,18:10,1ชม.0นาที,Direct,1301,"฿1,301",2026-01-26 15:33:28,airpaz.com
2026-01-31,BKKA,DMK,PHS,PHS,Thai Lion Air,SL,14:00,14:55,0ชม.55นาที,Direct,760,฿760,2026-01-26 15:33:56,airpaz.com
2026-01-31,BKKA,DMK,PHS,PHS,Nok Air,DD,16:35,17:35,1ชม.0นาที,Direct,862,฿862,2026-01-26 15:33:56,airpaz.com
2026-01-31,BKKA,DMK,PHS,PHS,Thai Lion Air,SL,7:35,8:40,1ชม.5นาที,Direct,1070,"฿1,070",2026-01-26 15:33:56,airpaz.com
2026-01-31,BKKA,DMK,PHS,PHS,Thai AirAsia,FD,14:55,15:55,1ชม.0นาที,Direct,1093,"฿1,093",2026-01-26 15:33:56,airpaz.com
2026-01-31,BKKA,DMK,PHS,PHS,Thai AirAsia,FD,17:30,18:30,1ชม.0นาที,Direct,1108,"฿1,108",2026-01-26 15:33:56,airpaz.com
2026-01-31,BKKA,DMK,PHS,PHS,Thai AirAsia,FD,7:00,8:00,1ชม.0นาที,Direct,1283,"฿1,283",2026-01-26 15:33:56,airpaz.com
2026-02-01,BKKA,DMK,PHS,PHS,Thai Lion Air,SL,7:35,8:40,1ชม.5นาที,Direct,761,฿761,2026-01-26 15:34:26,airpaz.com
2026-02-01,BKKA,DMK,PHS,PHS,Thai AirAsia,FD,7:00,8:00,1ชม.0นาที,Direct,903,฿903,2026-01-26 15:34:26,airpaz.com
2026-02-01,BKKA,DMK,PHS,PHS,Nok Air,DD,16:35,17:35,1ชม.0นาที,Direct,957,฿957,2026-01-26 15:34:26,airpaz.com
2026-02-01,BKKA,DMK,PHS,PHS,Thai Lion Air,SL,14:00,14:55,0ชม.55นาที,Direct,1069,"฿1,069",2026-01-26 15:34:26,airpaz.com
2026-02-01,BKKA,DMK,PHS,PHS,Thai AirAsia,FD,14:55,15:55,1ชม.0นาที,Direct,1283,"฿1,283",2026-01-26 15:34:26,airpaz.com
2026-02-01,BKKA,DMK,PHS,PHS,Thai AirAsia,FD,17:10,18:10,1ชม.0นาที,Direct,1590,"฿1,590",2026-01-26 15:34:26,airpaz.com
