date,origin_group,dep_airport,arr_airport,destination,airline,airline_code,dep_time,arr_time,duration,stops,price_value,price_text,scraped_at,source
2026-01-29,BKKA,DMK,SNO,SNO,Nok Air,DD,6:05,7:20,1ชม.15นาที,Direct,868,฿868,2026-01-26 13:33:36,airpaz.com
2026-01-29,BKKA,DMK,SNO,SNO,Thai AirAsia,FD,6:40,7:50,1ชม.10นาที,Direct,1065,"฿1,065",2026-01-26 13:33:36,airpaz.com
2026-01-29,BKKA,DMK,SNO,SNO,Thai AirAsia,FD,13:15,14:35,1ชม.20นาที,Direct,1377,"฿1,377",2026-01-26 13:33:36,airpaz.com
2026-01-30,BKKA,DMK,SNO,SNO,Nok Air,DD,6:05,7:20,1ชม.15นาที,Direct,1061,"฿1,061",2026-01-26 13:34:05,airpaz.com
2026-01-30,BKKA,DMK,SNO,SNO,Thai AirAsia,FD,6:40,7:50,1ชม.10นาที,Direct,1258,"฿1,258",2026-01-26 13:34:05,airpaz.com
2026-01-30,BKKA,DMK,SNO,SNO,Thai AirAsia,FD,13:15,14:35,1ชม.20นาที,Direct,1377,"฿1,377",2026-01-26 13:34:05,airpaz.com
2026-01-30,BKKA,DMK,SNO,SNO,Nok Air,DD,15:45,17:00,1ชม.15นาที,Direct,1601,"฿1,601",2026-01-26 13:34:05,airpaz.com
2026-01-31,BKKA,DMK,SNO,SNO,Thai AirAsia,FD,6:40,7:50,1ชม.10นาที,Direct,1258,"฿1,258",2026-01-26 13:34:33,airpaz.com
2026-01-31,BKKA,DMK,SNO,SNO,Thai AirAsia,FD,14:25,15:40,1ชม.15นาที,Direct,2212,"฿2,212",2026-01-26 13:34:33,airpaz.com
2026-02-01,BKKA,DMK,SNO,SNO,Nok Air,DD,6:05,7:20,1ชม.15นาที,Direct,1061,"฿1,061",2026-01-26 13:34:36,airpaz.com
2026-02-01,BKKA,DMK,SNO,SNO,Thai AirAsia,FD,6:40,7:50,1ชม.10นาที,Direct,1258,"฿1,258",2026-01-26 13:34:36,airpaz.com
2026-02-01,BKKA,DMK,SNO,SNO,Thai AirAsia,FD,14:25,15:40,1ชม.15นาที,Direct,2212,"฿2,212",2026-01-26 13:34:36,airpaz.com
2026-02-02,BKKA,DMK,SNO,SNO,Nok Air,DD,6:05,7:20,1ชม.15นาที,Direct,1061,"฿1,061",2026-01-26 13:35:05,airpaz.com
2026-02-02,BKKA,DMK,SNO,SNO,Thai AirAsia,FD,13:15,14:35,1ชม.20นาที,Direct,1279,"฿1,279",2026-01-26 13:35:05,airpaz.com
2026-02-02,BKKA,DMK,SNO,SNO,Nok Air,DD,15:45,17:00,1ชม.15นาที,Direct,1351,"฿1,351",2026-01-26 13:35:05,airpaz.com
2026-02-02,BKKA,DMK,SNO,SNO,Thai AirAsia,FD,6:40,7:50,1ชม.10นาที,Direct,1355,"฿1,355",2026-01-26 13:35:05,airpaz.com
2026-02-03,BKKA,DMK,SNO,SNO,Thai AirAsia,FD,6:40,7:50,1ชม.10นาที,Direct,1065,"฿1,065",2026-01-26 13:35:34,airpaz.com
