date,origin_group,dep_airport,arr_airport,destination,airline,airline_code,dep_time,arr_time,duration,stops,price_value,price_text,scraped_at,source
2026-01-29,BKKA,DMK,TST,TST,Nok Air,DD,12:40,14:10,1ชม.30นาที,Direct,1249,"฿1,249",2026-01-26 9:30:01,airpaz.com
2026-01-29,BKKA,DMK,TST,TST,Thai Lion Air,SL,8:05,9:30,1ชม.25นาที,Direct,1259,"฿1,259",2026-01-26 9:30:01,airpaz.com
2026-01-29,BKKA,DMK,TST,TST,Thai Lion Air,SL,15:30,16:55,1ชม.25นาที,Direct,1259,"฿1,259",2026-01-26 9:30:01,airpaz.com
2026-01-29,BKKA,DMK,TST,TST,Thai AirAsia,FD,17:40,19:05,1ชม.25นาที,Direct,1716,"฿1,716",2026-01-26 9:30:01,airpaz.com
2026-01-29,BKKA,DMK,TST,TST,Thai AirAsia,FD,7:50,9:20,1ชม.30นาที,Direct,1729,"฿1,729",2026-01-26 9:30:01,airpaz.com
2026-01-30,BKKA,DMK,TST,TST,Thai Lion Air,SL,8:05,9:30,1ชม.25นาที,Direct,1259,"฿1,259",2026-01-26 9:30:29,airpaz.com
2026-01-30,BKKA,DMK,TST,TST,Thai Lion Air,SL,15:30,16:55,1ชม.25นาที,Direct,1734,"฿1,734",2026-01-26 9:30:30,airpaz.com
2026-01-30,BKKA,DMK,TST,TST,Thai AirAsia,FD,17:40,19:05,1ชม.25นาที,Direct,2049,"฿2,049",2026-01-26 9:30:30,airpaz.com
2026-01-30,BKKA,DMK,TST,TST,Thai AirAsia,FD,7:50,9:20,1ชม.30นาที,Direct,2065,"฿2,065",2026-01-26 9:30:30,airpaz.com
2026-01-30,BKKA,DMK,TST,TST,Nok Air,DD,12:40,14:10,1ชม.30นาที,Direct,2834,"฿2,834",2026-01-26 9:30:30,airpaz.com
2026-01-31,BKKA,DMK,TST,TST,Thai Lion Air,SL,15:30,16:55,1ชม.25นาที,Direct,1734,"฿1,734",2026-01-26 9:30:58,airpaz.com
2026-01-31,BKKA,DMK,TST,TST,Nok Air,DD,12:40,14:10,1ชม.30นาที,Direct,1826,"฿1,826",2026-01-26 9:30:58,airpaz.com
2026-01-31,BKKA,DMK,TST,TST,Thai Lion Air,SL,8:05,9:30,1ชม.25นาที,Direct,1924,"฿1,924",2026-01-26 9:30:58,airpaz.com
2026-01-31,BKKA,DMK,TST,TST,Thai AirAsia,FD,17:40,19:05,1ชม.25นาที,Direct,2240,"฿2,240",2026-01-26 9:30:58,airpaz.com
2026-01-31,BKKA,DMK,TST,TST,Thai AirAsia,FD,7:50,9:20,1ชม.30นาที,Direct,2545,"฿2,545",2026-01-26 9:30:58,airpaz.com
2026-02-01,BKKA,DMK,TST,TST,Thai Lion Air,SL,8:05,9:30,1ชม.25นาที,Direct,1734,"฿1,734",2026-01-26 9:31:27,airpaz.com
2026-02-01,BKKA,DMK,TST,TST,Thai AirAsia,FD,7:50,9:20,1ชม.30นาที,Direct,2065,"฿2,065",2026-01-26 9:31:27,airpaz.com
2026-02-01,BKKA,DMK,TST,TST,Nok Air,DD,12:40,14:10,1ชม.30นาที,Direct,2402,"฿2,402",2026-01-26 9:31:27,airpaz.com
2026-02-01,BKKA,DMK,TST,TST,Thai Lion Air,SL,15:30,16:55,1ชม.25นาที,Direct,3634,"฿3,634",2026-01-26 9:31:27,airpaz.com
2026-02-01,BKKA,DMK,TST,TST,Thai AirAsia,FD,17:40,19:05,1ชม.25นาที,Direct,4669,"฿4,669",2026-01-26 9:31:27,airpaz.com
2026-02-02,BKKA,DMK,TST,TST,Thai Lion Air,SL,8:05,9:30,1ชม.25นาที,Direct,1734,"฿1,734",2026-01-26 9:31:52,airpaz.com
2026-02-02,BKKA,DMK,TST,TST,Nok Air,DD,12:40,14:10,1ชม.30นาที,Direct,1826,"฿1,826",2026-01-26 9:31:52,airpaz.com
2026-02-02,BKKA,DMK,TST,TST,Thai Lion Air,SL,15:30,16:55,1ชม.25นาที,Direct,1924,"฿1,924",2026-01-26 9:31:52,airpaz.com
2026-02-02,BKKA,DMK,TST,TST,Thai AirAsia,FD,17:45,19:10,1ชม.25นาที,Direct,2049,"฿2,049",2026-01-26 9:31:52,airpaz.com
