date,origin_group,dep_airport,arr_airport,destination,airline,airline_code,dep_time,arr_time,duration,stops,price_value,price_text,scraped_at,source
2026-01-29,BKKA,DMK,UBP,UBP,Thai AirAsia,FD,20:00,21:10,1ชม.10นาที,Direct,932,฿932,2026-01-23 13:00:52,airpaz.com
2026-01-29,BKKA,DMK,UBP,UBP,Nok Air,DD,13:50,15:05,1ชม.15นาที,Direct,951,฿951,2026-01-23 13:00:52,airpaz.com
2026-01-29,BKKA,DMK,UBP,UBP,Nok Air,DD,10:00,11:15,1ชม.15นาที,Direct,963,฿963,2026-01-23 13:00:52,airpaz.com
2026-01-29,BKKA,DMK,UBP,UBP,Nok Air,DD,19:50,21:00,1ชม.10นาที,Direct,988,฿988,2026-01-23 13:00:52,airpaz.com
2026-01-29,BKKA,DMK,UBP,UBP,Thai Lion Air,SL,7:40,8:40,1ชม.0นาที,Direct,1090,"฿1,090",2026-01-23 13:00:52,airpaz.com
2026-01-29,BKKA,DMK,UBP,UBP,Thai Lion Air,SL,14:50,15:55,1ชม.5นาที,Direct,1102,"฿1,102",2026-01-23 13:00:52,airpaz.com
2026-01-29,BKKA,DMK,UBP,UBP,Thai AirAsia,FD,12:30,13:45,1ชม.15นาที,Direct,1169,"฿1,169",2026-01-23 13:00:52,airpaz.com
2026-01-29,BKKA,DMK,UBP,UBP,Thai AirAsia,FD,15:50,17:00,1ชม.10นาที,Direct,1616,"฿1,616",2026-01-23 13:00:52,airpaz.com
2026-01-29,BKKA,DMK,UBP,UBP,Thai AirAsia,FD,8:30,9:40,1ชม.10นาที,Direct,1632,"฿1,632",2026-01-23 13:00:52,airpaz.com
2026-01-30,BKKA,DMK,UBP,UBP,Thai AirAsia,FD,20:00,21:10,1ชม.10นาที,Direct,932,฿932,2026-01-23 13:00:56,airpaz.com
2026-01-30,BKKA,DMK,UBP,UBP,Nok Air,DD,13:50,15:05,1ชม.15นาที,Direct,951,฿951,2026-01-23 13:00:56,airpaz.com
2026-01-30,BKKA,DMK,UBP,UBP,Nok Air,DD,10:00,11:15,1ชม.15นาที,Direct,963,฿963,2026-01-23 13:00:56,airpaz.com
2026-01-30,BKKA,DMK,UBP,UBP,Nok Air,DD,19:50,21:00,1ชม.10นาที,Direct,988,฿988,2026-01-23 13:00:56,airpaz.com
2026-01-30,BKKA,DMK,UBP,UBP,Thai Lion Air,SL,7:40,8:40,1ชม.0นาที,Direct,1090,"฿1,090",2026-01-23 13:00:56,airpaz.com
2026-01-30,BKKA,DMK,UBP,UBP,Thai Lion Air,SL,14:50,15:55,1ชม.5นาที,Direct,1102,"฿1,102",2026-01-23 13:00:56,airpaz.com
