date,origin_group,dep_airport,arr_airport,destination,airline,airline_code,dep_time,arr_time,duration,stops,price_value,price_text,scraped_at,source
2026-01-29,BKKA,DMK,UTH,UTH,Thai Lion Air,SL,18:50,19:55,1ชม.5นาที,Direct,760,฿760,2026-01-23 9:46:19,airpaz.com
2026-01-29,BKKA,DMK,UTH,UTH,Thai Lion Air,SL,11:15,12:15,1ชม.0นาที,Direct,782,฿782,2026-01-23 9:46:19,airpaz.com
2026-01-29,BKKA,DMK,UTH,UTH,Thai Lion Air,SL,8:00,9:00,1ชม.0นาที,Direct,783,฿783,2026-01-23 9:46:19,airpaz.com
2026-01-29,BKKA,BKK,UTH,UTH,Thai VietJet Air,VZ,8:30,9:40,1ชม.10นาที,Direct,863,฿863,2026-01-23 9:46:19,airpaz.com
2026-01-29,BKKA,DMK,UTH,UTH,Nok Air,DD,9:40,10:50,1ชม.10นาที,Direct,883,฿883,2026-01-23 9:46:19,airpaz.com
2026-01-29,BKKA,DMK,UTH,UTH,Nok Air,DD,13:40,14:50,1ชม.10นาที,Direct,889,฿889,2026-01-23 9:46:19,airpaz.com
2026-01-29,BKKA,DMK,UTH,UTH,Thai AirAsia,FD,7:10,8:20,1ชม.10นาที,Direct,903,฿903,2026-01-23 9:46:19,airpaz.com
2026-01-29,BKKA,DMK,UTH,UTH,Thai AirAsia,FD,14:40,16:05,1ชม.25นาที,Direct,904,฿904,2026-01-23 9:46:19,airpaz.com
2026-01-29,BKKA,DMK,UTH,UTH,Thai AirAsia,FD,18:00,19:10,1ชม.10นาที,Direct,929,฿929,2026-01-23 9:46:19,airpaz.com
2026-01-29,BKKA,DMK,UTH,UTH,Thai AirAsia,FD,20:05,21:15,1ชม.10นาที,Direct,929,฿929,2026-01-23 9:46:19,airpaz.com
2026-01-30,BKKA,DMK,UTH,UTH,Thai Lion Air,SL,8:00,9:00,1ชม.0นาที,Direct,783,฿783,2026-01-23 9:46:47,airpaz.com
2026-01-30,BKKA,DMK,UTH,UTH,Thai Lion Air,SL,9:05,10:10,1ชม.5นาที,Direct,784,฿784,2026-01-23 9:46:47,airpaz.com
2026-01-30,BKKA,DMK,UTH,UTH,Nok Air,DD,9:40,10:50,1ชม.10นาที,Direct,883,฿883,2026-01-23 9:46:47,airpaz.com
2026-01-30,BKKA,DMK,UTH,UTH,Thai Lion Air,SL,11:15,12:15,1ชม.0นาที,Direct,1099,"฿1,099",2026-01-23 9:46:47,airpaz.com
2026-01-30,BKKA,DMK,UTH,UTH,Thai AirAsia,FD,7:15,8:30,1ชม.15นาที,Direct,1140,"฿1,140",2026-01-23 9:46:47,airpaz.com
2026-01-30,BKKA,DMK,UTH,UTH,Nok Air,DD,13:40,14:50,1ชม.10นาที,Direct,1235,"฿1,235",2026-01-23 9:46:47,airpaz.com
2026-01-30,BKKA,DMK,UTH,UTH,Thai Lion Air,SL,18:50,19:55,1ชม.5นาที,Direct,1259,"฿1,259",2026-01-23 9:46:47,airpaz.com
2026-01-30,BKKA,BKK,UTH,UTH,Thai Airways,TG,12:30,13:40,1ชม.10นาที,Direct,1434,"฿1,434",2026-01-23 9:46:47,airpaz.com
2026-01-30,BKKA,BKK,UTH,UTH,Thai Airways,TG,19:15,20:25,1ชม.10นาที,Direct,1434,"฿1,434",2026-01-23 9:46:47,airpaz.com
2026-01-30,BKKA,BKK,UTH,UTH,Thai Airways,TG,6:55,8:00,1ชม.5นาที,Direct,1462,"฿1,462",2026-01-23 9:46:47,airpaz.com
2026-01-31,BKKA,DMK,UTH,UTH,Thai Lion Air,SL,8:00,9:00,1ชม.0นาที,Direct,783,฿783,2026-01-23 9:46:51,airpaz.com
2026-01-31,BKKA,DMK,UTH,UTH,Thai Lion Air,SL,9:05,10:10,1ชม.5นาที,Direct,784,฿784,2026-01-23 9:46:51,airpaz.com
2026-01-31,BKKA,DMK,UTH,UTH,Nok Air,DD,9:40,10:50,1ชม.10นาที,Direct,883,฿883,2026-01-23 9:46:51,airpaz.com
2026-01-31,BKKA,BKK,UTH,UTH,Thai AirAsia,FD,7:05,8:10,1ชม.5นาที,Direct,1028,"฿1,028",2026-01-23 9:46:51,airpaz.com
2026-01-31,BKKA,DMK,UTH,UTH,Thai Lion Air,SL,11:15,12:15,1ชม.0นาที,Direct,1099,"฿1,099",2026-01-23 9:46:51,airpaz.com
2026-01-31,BKKA,DMK,UTH,UTH,Thai AirAsia,FD,7:15,8:30,1ชม.15นาที,Direct,1140,"฿1,140",2026-01-23 9:46:51,airpaz.com
2026-01-31,BKKA,DMK,UTH,UTH,Nok Air,DD,13:40,14:50,1ชม.10นาที,Direct,1235,"฿1,235",2026-01-23 9:46:51,airpaz.com
2026-01-31,BKKA,DMK,UTH,UTH,Thai Lion Air,SL,18:50,19:55,1ชม.5นาที,Direct,1259,"฿1,259",2026-01-23 9:46:51,airpaz.com
2026-01-31,BKKA,BKK,UTH,UTH,Thai Airways,TG,12:30,13:40,1ชม.10นาที,Direct,1434,"฿1,434",2026-01-23 9:46:51,airpaz.com
2026-01-31,BKKA,BKK,UTH,UTH,Thai Airways,TG,19:15,20:25,1ชม.10นาที,Direct,1434,"฿1,434",2026-01-23 9:46:51,airpaz.com
2026-02-01,BKKA,DMK,UTH,UTH,Thai Lion Air,SL,8:00,9:00,1ชม.0นาที,Direct,783,฿783,2026-01-23 9:46:56,airpaz.com
2026-02-01,BKKA,DMK,UTH,UTH,Thai Lion Air,SL,9:05,10:10,1ชม.5นาที,Direct,784,฿784,2026-01-23 9:46:56,airpaz.com
2026-02-01,BKKA,DMK,UTH,UTH,Nok Air,DD,9:40,10:50,1ชม.10นาที,Direct,883,฿883,2026-01-23 9:46:56,airpaz.com
2026-02-01,BKKA,BKK,UTH,UTH,Thai AirAsia,FD,7:05,8:10,1ชม.5นาที,Direct,1028,"฿1,028",2026-01-23 9:46:56,airpaz.com
2026-02-01,BKKA,BKK,UTH,UTH,Thai VietJet Air,VZ,8:30,9:40,1ชม.10นาที,Direct,1084,"฿1,084",2026-01-23 9:46:56,airpaz.com
2026-02-01,BKKA,DMK,UTH,UTH,Thai Lion Air,SL,11:15,12:15,1ชม.0นาที,Direct,1099,"฿1,099",2026-01-23 9:46:56,airpaz.com
2026-02-01,BKKA,DMK,UTH,UTH,Thai AirAsia,FD,7:15,8:30,1ชม.15นาที,Direct,1140,"฿1,140",2026-01-23 9:46:57,airpaz.com
2026-02-01,BKKA,DMK,UTH,UTH,Nok Air,DD,13:40,14:50,1ชม.10นาที,Direct,1235,"฿1,235",2026-01-23 9:46:57,airpaz.com
2026-02-01,BKKA,DMK,UTH,UTH,Thai Lion Air,SL,18:50,19:55,1ชม.5นาที,Direct,1259,"฿1,259",2026-01-23 9:46:57,airpaz.com
2026-02-01,BKKA,BKK,UTH,UTH,Thai VietJet Air,VZ,13:15,14:25,1ชม.10นาที,Direct,1369,"฿1,369",2026-01-23 9:46:57,airpaz.com
