date,airport,direction,time,destination,flight,airline,duration,raw_text,scraped_at
2026-01-31,BKK,departure,00:01,PER Perth,TG483,,6h 54m,00:01 | Thai Airways | PER Perth | TG483 | 6h 54m | DETAILS,2026-01-28T09:49:39.982164
2026-01-31,BKK,departure,00:05,CDG Paris,TG930,,12h 45m,00:05 | Thai Airways | CDG Paris | TG930 | 12h 45m | DETAILS,2026-01-28T09:49:40.042029
2026-01-31,BKK,departure,00:05,LHR London,TG910,,13h 35m,00:05 | Thai Airways | LHR London | TG910 | 13h 35m | DETAILS,2026-01-28T09:49:40.106910
2026-01-31,BKK,departure,00:05,NGO Nagoya,TG644,,5h 25m,00:05 | Thai Airways | NGO Nagoya | TG644 | 5h 25m | DETAILS,2026-01-28T09:49:40.165027
2026-01-31,BKK,departure,00:05,OSL Oslo,TG954,,13h 0m,00:05 | Thai Airways | OSL Oslo | TG954 | 13h 0m | DETAILS,2026-01-28T09:49:40.225242
2026-01-31,BKK,departure,00:05,CPH Copenhagen,TG950,,12h 15m,00:05 | Thai Airways | CPH Copenhagen | TG950 | 12h 15m | DETAILS,2026-01-28T09:49:40.286807
2026-01-31,BKK,departure,00:05,ARN Stockholm,TG960,,12h 40m,00:05 | Thai Airways | ARN Stockholm | TG960 | 12h 40m | DETAILS,2026-01-28T09:49:40.355205
2026-01-31,BKK,departure,00:10,NRT Tokyo,NQ2,,6h 5m,00:10 | Air Japan | NRT Tokyo | NQ2 | 6h 5m | DETAILS,2026-01-28T09:49:40.429729
2026-01-31,BKK,departure,00:30,BRU Brussels,TG934,,12h 35m,00:30 | Thai Airways | BRU Brussels | TG934 | 12h 35m | DETAILS,2026-01-28T09:49:40.510092
2026-01-31,BKK,departure,00:35,ZRH Zurich,TG970,,12h 20m,00:35 | Thai Airways | ZRH Zurich | TG970 | 12h 20m | DETAILS,2026-01-28T09:49:40.597422
2026-01-31,BKK,departure,00:35,MXP Milan,TG940,,12h 35m,00:35 | Thai Airways | MXP Milan | TG940 | 12h 35m | DETAILS,2026-01-28T09:49:40.676257
2026-01-31,BKK,departure,00:40,PUS Busan,7C2552,,5h 20m,00:40 | Jeju Air | PUS Busan | 7C2552 | 5h 20m | DETAILS,2026-01-28T09:49:40.750943
2026-01-31,BKK,departure,00:50,PUS Busan,LJ22,,5h 5m,00:50 | Jin Air | PUS Busan | LJ22 | 5h 5m | DETAILS,2026-01-28T09:49:40.846142
2026-01-31,BKK,departure,00:50,MUC Munich,TG924,,11h 55m,00:50 | Thai Airways | MUC Munich | TG924 | 11h 55m | DETAILS,2026-01-28T09:49:40.907137
2026-01-31,BKK,departure,00:50,FUK Fukuoka,VZ810,,5h 5m,00:50 | Vietjet Thailand | FUK Fukuoka | VZ810 | 5h 5m | DETAILS,2026-01-28T09:49:40.969390
2026-01-31,BKK,departure,00:55,ICN Seoul,KE654,,5h 20m,00:55 | Korean Air | ICN Seoul | KE654 | 5h 20m | DETAILS,2026-01-28T09:49:41.029146
2026-01-31,BKK,departure,01:00,ICN Seoul,7C2504,,5h 25m,01:00 | Jeju Air | ICN Seoul | 7C2504 | 5h 25m | DETAILS,2026-01-28T09:49:41.100384
2026-01-31,BKK,departure,01:00,FUK Fukuoka,TG648,,5h 10m,01:00 | Thai Airways | FUK Fukuoka | TG648 | 5h 10m | DETAILS,2026-01-28T09:49:41.164981
2026-01-31,BKK,departure,01:05,PEK Beijing,HU7996,,4h 45m,01:05 | Hainan Airlines | PEK Beijing | HU7996 | 4h 45m | DETAILS,2026-01-28T09:49:41.229655
2026-01-31,BKK,departure,01:05,DXB Dubai,EK385,,6h 50m,01:05 | Emirates | DXB Dubai | EK385 | 6h 50m | DETAILS,2026-01-28T09:49:41.290796
2026-01-31,BKK,departure,01:05,PKX Beijing,MU2072,,4h 50m,01:05 | China Eastern | PKX Beijing | MU2072 | 4h 50m | DETAILS,2026-01-28T09:49:41.494186
2026-01-31,BKK,departure,01:10,KIX Osaka,JL728,,5h 0m,01:10 | JAL | KIX Osaka | JL728 | 5h 0m | DETAILS,2026-01-28T09:49:41.578455
2026-01-31,BKK,departure,01:10,KIX Osaka,MM92,,5h 35m,01:10 | Peach Aviation | KIX Osaka | MM92 | 5h 35m | DETAILS,2026-01-28T09:49:41.668276
