date,airport,direction,time,destination,flight,airline,duration,raw_text,scraped_at
2026-11-18,BKK,departure,20:15,BKK Bangkok,9C8755,9C,4h 45m,20:15 | Spring Airlines | BKK Bangkok | 9C8755 | 4h 45m | DETAILS,2026-02-02T16:23:09.140009
2026-11-18,BKK,departure,22:30,BKK Bangkok,PG264,PG,1h 30m,22:30 | Bangkok Airways | BKK Bangkok | PG264 | 1h 30m | DETAILS,2026-02-02T16:23:09.236961
2026-11-18,BKK,departure,20:00,BKK Bangkok,MU2071,MU,5h 5m,20:00 | China Eastern | BKK Bangkok | MU2071 | 5h 5m | DETAILS,2026-02-02T16:23:09.346911
2026-11-18,BKK,departure,21:50,BKK Bangkok,3U3937,3U,3h 20m,21:50 | Sichuan Airlines | BKK Bangkok | 3U3937 | 3h 20m | DETAILS,2026-02-02T16:23:09.464250
2026-11-18,BKK,departure,19:50,BKK Bangkok,TW101,TW,6h 20m,19:50 | T´Way Air | BKK Bangkok | TW101 | 6h 20m | DETAILS,2026-02-02T16:23:09.562036
2026-11-18,BKK,departure,20:00,BKK Bangkok,CA979,CA,5h 10m,20:00 | Air China | BKK Bangkok | CA979 | 5h 10m | DETAILS,2026-02-02T16:23:09.663038
2026-11-18,BKK,departure,22:50,BKK Bangkok,FD4103,FD,1h 20m,22:50 | Thai AirAsia | BKK Bangkok | FD4103 | 1h 20m | DETAILS,2026-02-02T16:23:09.766182
2026-11-18,BKK,departure,19:55,BKK Bangkok,6E1057,6E,2h 50m,19:55 | IndiGo | BKK Bangkok | 6E1057 | 2h 50m | DETAILS,2026-02-02T16:23:09.864064
2026-11-18,BKK,departure,22:10,BKK Bangkok,CX617,CX,3h 5m,22:10 | Cathay Pacific | BKK Bangkok | CX617 | 3h 5m | DETAILS,2026-02-02T16:23:09.968857
2026-11-18,BKK,departure,18:55,BKK Bangkok,NH805,NH,7h 25m,18:55 | ANA | BKK Bangkok | NH805 | 7h 25m | DETAILS,2026-02-02T16:23:10.072023
2026-11-18,BKK,departure,22:05,BKK Bangkok,HX779,HX,3h 20m,22:05 | Hong Kong Airlines | BKK Bangkok | HX779 | 3h 20m | DETAILS,2026-02-02T16:23:10.173996
2026-11-18,BKK,departure,20:50,BKK Bangkok,ET629,ET,3h 45m,20:50 | Ethiopian | BKK Bangkok | ET629 | 3h 45m | DETAILS,2026-02-02T16:23:10.273963
2026-11-18,BKK,departure,20:35,BKK Bangkok,KE659,KE,6h 10m,20:35 | Korean Air | BKK Bangkok | KE659 | 6h 10m | DETAILS,2026-02-02T16:23:10.385012
2026-11-18,BKK,departure,22:15,BKK Bangkok,MF843,MF,3h 30m,22:15 | XiamenAir | BKK Bangkok | MF843 | 3h 30m | DETAILS,2026-02-02T16:23:10.486600
2026-11-18,BKK,departure,21:00,BKK Bangkok,HO1357,HO,4h 50m,21:00 | Juneyao Airlines | BKK Bangkok | HO1357 | 4h 50m | DETAILS,2026-02-02T16:23:10.586764
2026-11-18,BKK,departure,21:05,BKK Bangkok,FM849,FM,4h 50m,21:05 | Shanghai Airlines | BKK Bangkok | FM849 | 4h 50m | DETAILS,2026-02-02T16:23:10.685637
2026-11-18,BKK,departure,20:50,BKK Bangkok,KE655,KE,6h 5m,20:50 | Korean Air | BKK Bangkok | KE655 | 6h 5m | DETAILS,2026-02-02T16:23:10.782155
2026-11-18,BKK,departure,23:00,BKK Bangkok,CZ3035,CZ,3h 5m,23:00 | China Southern | BKK Bangkok | CZ3035 | 3h 5m | DETAILS,2026-02-02T16:23:10.882154
2026-11-18,BKK,departure,23:30,BKK Bangkok,EK371,EK,1h 40m,23:30 | Emirates | BKK Bangkok | EK371 | 1h 40m | DETAILS,2026-02-02T16:23:10.979117
2026-11-18,BKK,departure,23:35,BKK Bangkok,MU893,MU,2h 40m,23:35 | China Eastern | BKK Bangkok | MU893 | 2h 40m | DETAILS,2026-02-02T16:23:11.079172
2026-11-18,BKK,departure,23:30,BKK Bangkok,8M390,8M,1h 20m,23:30 | MAI | BKK Bangkok | 8M390 | 1h 20m | DETAILS,2026-02-02T16:23:11.178744
2026-11-18,BKK,departure,22:10,BKK Bangkok,9C6251,9C,4h 10m,22:10 | Spring Airlines | BKK Bangkok | 9C6251 | 4h 10m | DETAILS,2026-02-02T16:23:11.281024
2026-11-18,BKK,departure,21:45,BKK Bangkok,MU2803,MU,4h 35m,21:45 | China Eastern | BKK Bangkok | MU2803 | 4h 35m | DETAILS,2026-02-02T16:23:11.432701
2026-11-18,BKK,departure,21:55,BKK Bangkok,CA805,CA,4h 35m,21:55 | Air China | BKK Bangkok | CA805 | 4h 35m | DETAILS,2026-02-02T16:23:11.631058
2026-11-18,BKK,departure,21:25,BKK Bangkok,TW105,TW,6h 5m,21:25 | T´Way Air | BKK Bangkok | TW105 | 6h 5m | DETAILS,2026-02-02T16:23:11.782689
2026-11-18,BKK,departure,22:30,BKK Bangkok,CI837,CI,4h 5m,22:30 | China Airlines | BKK Bangkok | CI837 | 4h 5m | DETAILS,2026-02-02T16:23:11.939405
2026-11-18,BKK,departure,23:35,BKK Bangkok,CZ8157,CZ,3h 5m,23:35 | China Southern | BKK Bangkok | CZ8157 | 3h 5m | DETAILS,2026-02-02T16:23:12.096348
2026-11-18,BKK,departure,22:25,BKK Bangkok,CZ3079,CZ,4h 25m,22:25 | China Southern | BKK Bangkok | CZ3079 | 4h 25m | DETAILS,2026-02-02T16:23:12.250756
2026-11-18,BKK,departure,23:00,BKK Bangkok,CZ3029,CZ,3h 50m,23:00 | China Southern | BKK Bangkok | CZ3029 | 3h 50m | DETAILS,2026-02-02T16:23:12.405006
2026-11-18,BKK,departure,23:45,BKK Bangkok,HX759,HX,3h 5m,23:45 | Hong Kong Airlines | BKK Bangkok | HX759 | 3h 5m | DETAILS,2026-02-02T16:23:12.555452
2026-11-18,BKK,departure,22:20,BKK Bangkok,FM841,FM,4h 35m,22:20 | Shanghai Airlines | BKK Bangkok | FM841 | 4h 35m | DETAILS,2026-02-02T16:23:12.707406
2026-11-18,BKK,departure,21:55,BKK Bangkok,SC8075,SC,5h 0m,21:55 | Shandong Airlines | BKK Bangkok | SC8075 | 5h 0m | DETAILS,2026-02-02T16:23:12.859714
2026-11-18,BKK,departure,00:05,BKK Bangkok,MU2077,MU,3h 0m,00:05 | China Eastern | BKK Bangkok | MU2077 | 3h 0m | DETAILS,2026-02-02T16:23:13.008166
2026-11-18,BKK,departure,00:20,BKK Bangkok,ZH305,ZH,2h 55m,00:20 | Shenzhen Airlines | BKK Bangkok | ZH305 | 2h 55m | DETAILS,2026-02-02T16:23:13.160737
2026-11-18,BKK,departure,23:00,BKK Bangkok,VZ3537,VZ,4h 30m,23:00 | Vietjet Thailand | BKK Bangkok | VZ3537 | 4h 30m | DETAILS,2026-02-02T16:23:13.316419
2026-11-18,BKK,departure,21:10,BKK Bangkok,S76305,S7,6h 20m,21:10 | S7 Airlines | BKK Bangkok | S76305 | 6h 20m | DETAILS,2026-02-02T16:23:13.469438
2026-11-18,BKK,departure,23:45,BKK Bangkok,5J931,5J,3h 50m,23:45 | Cebu Pacific | BKK Bangkok | 5J931 | 3h 50m | DETAILS,2026-02-02T16:23:13.622034
2026-11-18,BKK,departure,00:15,BKK Bangkok,FM847,FM,4h 50m,00:15 | Shanghai Airlines | BKK Bangkok | FM847 | 4h 50m | DETAILS,2026-02-02T16:23:16.409919
2026-11-18,BKK,departure,15:30,BKK Bangkok,TK58,TK,8h 50m,15:30 | Turkish Airlines | BKK Bangkok | TK58 | 8h 50m | DETAILS,2026-02-02T16:23:16.516036
2026-11-18,BKK,departure,01:10,BKK Bangkok,MU7389,MU,4h 35m,01:10 | China Eastern | BKK Bangkok | MU7389 | 4h 35m | DETAILS,2026-02-02T16:23:16.612625
2026-11-18,BKK,departure,23:10,BKK Bangkok,6E1095,6E,4h 15m,23:10 | IndiGo | BKK Bangkok | 6E1095 | 4h 15m | DETAILS,2026-02-02T16:23:16.717944
2026-11-18,BKK,departure,00:50,BKK Bangkok,VZ771,VZ,2h 35m,00:50 | Vietjet Thailand | BKK Bangkok | VZ771 | 2h 35m | DETAILS,2026-02-02T16:23:16.814634
2026-11-18,BKK,departure,00:45,BKK Bangkok,JL727,JL,6h 15m,00:45 | JAL | BKK Bangkok | JL727 | 6h 15m | DETAILS,2026-02-02T16:23:16.915300
